shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
111001,34.879589,137.187088,327
111001,34.879822,137.187164,328
111001,34.880062,137.18721,329
111001,34.880302,137.187225,330
111001,34.880539,137.187256,331
111001,34.880775,137.187302,332
111001,34.881004,137.187424,333
111001,34.881229,137.187607,334
111001,34.881458,137.18779,335
111001,34.881714,137.187943,336
111001,34.881985,137.18808,337
111001,34.882263,137.188187,338
111001,34.882549,137.188293,339
111001,34.882835,137.188385,340
111001,34.883125,137.188477,341
111001,34.8834,137.188568,342
111001,34.883678,137.18866,343
111001,34.883945,137.188751,344
111001,34.884205,137.188843,345
111001,34.88446,137.18895,346
111001,34.884682,137.189102,347
111001,34.88488,137.18927,348
111001,34.885056,137.189468,349
111001,34.885235,137.189667,350
111001,34.885414,137.189835,351
111001,34.88562,137.189987,352
111001,34.885838,137.190109,353
111001,34.886063,137.190216,354
111001,34.886295,137.190338,355
111001,34.886532,137.19046,356
111001,34.886768,137.190598,357
111001,34.887009,137.19072,358
111001,34.887241,137.190842,359
111001,34.88744,137.190948,360
111001,34.887577,137.19101,361
111001,34.887665,137.190994,362
111001,34.887741,137.190903,363
111001,34.88784,137.190765,364
111001,34.88797,137.190598,365
111001,34.888119,137.19043,366
111001,34.888283,137.190277,367
111001,34.888412,137.190079,368
111001,34.888515,137.18985,369
111001,34.888592,137.189606,370
111001,34.888657,137.189392,371
111001,34.888752,137.189178,372
111001,34.88887,137.18898,373
111001,34.88903,137.188812,374
111001,34.889198,137.188675,375
111001,34.889366,137.188522,376
111001,34.889492,137.188324,377
111001,34.88961,137.188126,378
111001,34.889744,137.187927,379
111001,34.889904,137.187775,380
111001,34.890064,137.187622,381
111001,34.890228,137.187454,382
111001,34.890404,137.187332,383
111001,34.890591,137.187256,384
111001,34.890785,137.187164,385
111001,34.89098,137.187073,386
111001,34.891151,137.186935,387
111001,34.8913,137.186768,388
111001,34.891426,137.186569,389
111001,34.891541,137.186371,390
111001,34.89164,137.186234,391
111001,34.891697,137.186172,392
111001,34.891735,137.186127,393
111001,34.891773,137.186111,394
111001,34.891846,137.186127,395
111001,34.891926,137.186203,396
111001,34.892036,137.18634,397
111001,34.892197,137.186493,398
111001,34.892395,137.186646,399
111001,34.892601,137.186783,400
111001,34.892815,137.186935,401
111001,34.893017,137.187073,402
111001,34.893208,137.18721,403
111001,34.893387,137.187347,404
111001,34.893581,137.187485,405
111001,34.89378,137.187622,406
111001,34.89397,137.187759,407
111001,34.894176,137.187897,408
111001,34.894394,137.188034,409
111001,34.894619,137.188187,410
111001,34.894848,137.188339,411
111001,34.895077,137.188492,412
111001,34.895302,137.188644,413
111001,34.895531,137.188797,414
111001,34.895752,137.18895,415
111001,34.895954,137.189072,416
111001,34.896164,137.189102,417
111001,34.896358,137.189056,418
111001,34.896511,137.188919,419
111001,34.896618,137.188751,420
111001,34.896675,137.188553,421
111001,34.896683,137.188354,422
111001,34.896698,137.188156,423
111001,34.896751,137.188004,424
111001,34.896843,137.187897,425
111001,34.896931,137.187851,426
111001,34.896969,137.18782,427
111001,34.897011,137.187744,428
111001,34.896999,137.187653,429
111001,34.896992,137.187515,430
111001,34.897018,137.187332,431
111001,34.897045,137.187149,432
111001,34.897057,137.186935,433
111001,34.897053,137.186707,434
111001,34.897038,137.186493,435
111001,34.896992,137.18631,436
111001,34.896935,137.186127,437
111001,34.896912,137.185928,438
111001,34.896904,137.18573,439
111001,34.8969,137.185547,440
111001,34.896931,137.185333,441
111001,34.896973,137.185135,442
111001,34.897022,137.184921,443
111001,34.89706,137.184723,444
111001,34.897099,137.184525,445
111001,34.897163,137.184341,446
111001,34.897228,137.184143,447
111001,34.897285,137.18396,448
111001,34.897346,137.183777,449
111001,34.897396,137.183624,450
111001,34.89743,137.183441,451
111001,34.897438,137.183243,452
111001,34.89743,137.182999,453
111001,34.897423,137.18277,454
111001,34.897381,137.182587,455
111001,34.897278,137.182434,456
111001,34.897152,137.182281,457
111001,34.897007,137.182175,458
111001,34.896832,137.182098,459
111001,34.896652,137.182022,460
111001,34.896465,137.181946,461
111001,34.896267,137.181885,462
111001,34.896076,137.181808,463
111001,34.895889,137.181732,464
111001,34.895718,137.181671,465
111001,34.89555,137.181595,466
111001,34.895393,137.181473,467
111001,34.895267,137.181351,468
111001,34.895195,137.181259,469
111001,34.895157,137.181213,470
111001,34.895138,137.181168,471
111001,34.895138,137.181076,472
111001,34.895184,137.180954,473
111001,34.895248,137.180817,474
111001,34.895313,137.180679,475
111001,34.895378,137.180511,476
111001,34.895435,137.180389,477
111001,34.895473,137.180298,478
111001,34.895496,137.180252,479
111001,34.895535,137.180161,480
111001,34.895576,137.180099,481
111001,34.895603,137.180023,482
111001,34.895569,137.179947,483
111001,34.895477,137.179871,484
111001,34.895329,137.179764,485
111001,34.895161,137.179657,486
111001,34.894978,137.179535,487
111001,34.89481,137.179413,488
111001,34.894634,137.179291,489
111001,34.894447,137.179153,490
111001,34.894272,137.179016,491
111001,34.894127,137.178925,492
111001,34.894058,137.178864,493
111001,34.894035,137.178787,494
111001,34.894089,137.178665,495
111001,34.89418,137.178482,496
111001,34.894272,137.178284,497
111001,34.89436,137.178101,498
111001,34.894428,137.177948,499
111001,34.894478,137.177856,500
111001,34.894531,137.177811,501
111001,34.8946,137.177811,502
111001,34.894691,137.177872,503
111001,34.894817,137.177979,504
111001,34.894978,137.178085,505
111001,34.895145,137.178192,506
111001,34.895321,137.178329,507
111001,34.895508,137.178452,508
111001,34.895695,137.178589,509
111001,34.895866,137.178726,510
111001,34.896023,137.178848,511
111001,34.896107,137.178909,512
111001,34.896137,137.17894,513
111001,34.896229,137.178909,514
111001,34.896282,137.178802,515
111001,34.89637,137.178635,516
111001,34.896473,137.178467,517
111001,34.896591,137.178268,518
111001,34.896687,137.178116,519
111001,34.896782,137.177948,520
111001,34.896881,137.17775,521
111001,34.896984,137.177582,522
111001,34.897079,137.177429,523
111001,34.897152,137.177292,524
111001,34.897224,137.177246,525
111001,34.897308,137.177261,526
111001,34.897373,137.177353,527
111001,34.897434,137.17746,528
111001,34.897442,137.177612,529
111001,34.897411,137.177811,530
111001,34.897366,137.178024,531
111001,34.897316,137.178162,532
111001,34.89732,137.178253,533
111001,34.897388,137.178329,534
111001,34.897507,137.178421,535
111001,34.897629,137.178513,536
111001,34.897717,137.178574,537
111001,34.897785,137.178635,538
111001,34.897903,137.178726,539
111001,34.898048,137.178833,540
111001,34.898239,137.17897,541
111001,34.898441,137.179123,542
111001,34.898651,137.179276,543
111001,34.898857,137.179428,544
111001,34.899059,137.179565,545
111001,34.899258,137.179718,546
111001,34.899422,137.17984,547
111001,34.899513,137.179901,548
111001,34.899593,137.179901,549
111001,34.899624,137.17984,550
111001,34.899647,137.179703,551
111001,34.899677,137.179489,552
111001,34.899715,137.17923,553
111001,34.899761,137.17894,554
111001,34.899803,137.17865,555
111001,34.899834,137.17836,556
111001,34.899849,137.178085,557
111001,34.899822,137.177826,558
111001,34.899765,137.177597,559
111001,34.899712,137.177368,560
111001,34.899696,137.177231,561
111001,34.899712,137.177155,562
111001,34.899757,137.177124,563
111001,34.899849,137.177109,564
111001,34.899975,137.177139,565
111001,34.900146,137.177155,566
111001,34.900341,137.177139,567
111001,34.900555,137.177124,568
111001,34.900772,137.177155,569
111001,34.900997,137.177216,570
111001,34.90123,137.177322,571
111001,34.901463,137.177414,572
111001,34.901669,137.177521,573
111001,34.901844,137.177597,574
111001,34.901943,137.177658,575
111001,34.901981,137.177673,576
111001,34.902054,137.177719,577
111001,34.90213,137.177765,578
111001,34.902248,137.177841,579
111001,34.902382,137.177948,580
111001,34.902538,137.178055,581
111001,34.902706,137.178192,582
111001,34.902889,137.178345,583
111001,34.903076,137.178482,584
111001,34.903275,137.178635,585
111001,34.903477,137.178802,586
111001,34.903683,137.17897,587
111001,34.903896,137.179138,588
111001,34.904099,137.179321,589
111001,34.904289,137.17952,590
111001,34.904476,137.179718,591
111001,34.904659,137.179932,592
111001,34.904839,137.18013,593
111001,34.90501,137.180328,594
111001,34.905144,137.180573,595
111001,34.905239,137.180817,596
111001,34.9053,137.181076,597
111001,34.905342,137.181305,598
111001,34.905434,137.181488,599
111001,34.905571,137.181595,600
111001,34.90575,137.181641,601
111001,34.90596,137.181641,602
111001,34.906197,137.181625,603
111001,34.906441,137.181625,604
111001,34.906689,137.181625,605
111001,34.906925,137.181656,606
111001,34.907139,137.181686,607
111001,34.907333,137.181671,608
111001,34.907497,137.181564,609
111001,34.907639,137.181396,610
111001,34.907772,137.181213,611
111001,34.907906,137.18103,612
111001,34.908035,137.180908,613
111001,34.908115,137.180801,614
111001,34.908154,137.180649,615
111001,34.908165,137.18045,616
111001,34.9081,137.180267,617
111001,34.908012,137.180084,618
111001,34.907982,137.179901,619
111001,34.907974,137.179688,620
111001,34.907982,137.179459,621
111001,34.908012,137.179245,622
111001,34.908077,137.179031,623
111001,34.908173,137.178802,624
111001,34.90831,137.178574,625
111001,34.908474,137.17836,626
111001,34.908642,137.178177,627
111001,34.908825,137.177979,628
111001,34.908978,137.177811,629
111001,34.909077,137.177628,630
111001,34.909096,137.177399,631
111001,34.909035,137.17717,632
111001,34.908913,137.176987,633
111001,34.908772,137.176788,634
111001,34.908619,137.176575,635
111001,34.908459,137.176346,636
111001,34.908291,137.176102,637
111001,34.908127,137.175873,638
111001,34.907955,137.175644,639
111001,34.90778,137.175385,640
111001,34.907612,137.17511,641
111001,34.90744,137.174866,642
111001,34.907246,137.174637,643
111001,34.907063,137.174423,644
111001,34.906902,137.174286,645
111001,34.906689,137.174179,646
111001,34.906475,137.174133,647
111001,34.906288,137.174088,648
111001,34.906113,137.173981,649
111001,34.905994,137.173904,650
111001,34.905937,137.173859,651
111001,34.905895,137.173828,652
111001,34.905838,137.173767,653
111001,34.905754,137.173691,654
111001,34.90564,137.173599,655
111001,34.90551,137.173492,656
111001,34.905365,137.173386,657
111001,34.905224,137.173279,658
111001,34.905128,137.173203,659
111001,34.905083,137.173172,660
111001,34.905037,137.173126,661
111001,34.90498,137.173096,662
111001,34.904926,137.173035,663
111001,34.904888,137.172974,664
111001,34.9049,137.172867,665
111001,34.904976,137.172791,666
111001,34.905102,137.172745,667
111001,34.905254,137.172684,668
111001,34.905411,137.172623,669
111001,34.905556,137.172577,670
111001,34.90564,137.172546,671
111001,34.90567,137.172485,672
111001,34.905659,137.172424,673
111001,34.905624,137.172363,674
111001,34.905563,137.172287,675
111001,34.905495,137.172226,676
111001,34.905415,137.172165,677
111001,34.90535,137.172119,678
111001,34.905323,137.172089,679
111001,34.905243,137.172012,680
111001,34.905159,137.171951,681
111001,34.905052,137.171906,682
111001,34.904926,137.171875,683
111001,34.904804,137.171829,684
111001,34.904705,137.171799,685
111001,34.904652,137.171814,686
111001,34.90461,137.171875,687
111001,34.904613,137.171997,688
111001,34.90464,137.17215,689
111001,34.904675,137.172318,690
111001,34.904716,137.17247,691
111001,34.904758,137.172577,692
111001,34.904778,137.172623,693
111001,34.904812,137.172714,694
111001,34.904839,137.172791,695
111001,34.904861,137.172867,696
111001,34.904842,137.172974,697
111001,34.904758,137.173035,698
111001,34.904613,137.173096,699
111001,34.904427,137.173172,700
111001,34.904217,137.173248,701
111001,34.903996,137.173325,702
111001,34.90377,137.173416,703
111001,34.903542,137.173508,704
111001,34.903313,137.173599,705
111001,34.903095,137.173676,706
111001,34.902897,137.173752,707
111001,34.902721,137.173828,708
111001,34.902588,137.173874,709
111001,34.902451,137.173935,710
111001,34.902367,137.173965,711
111001,34.902325,137.173965,712
111001,34.902241,137.173965,713
111001,34.902168,137.173889,714
111001,34.902065,137.173767,715
111001,34.901947,137.17363,716
111001,34.901817,137.173492,717
111001,34.901714,137.17337,718
111001,34.901558,137.173203,719
111001,34.901443,137.17305,720
111001,34.901314,137.172897,721
111001,34.901173,137.172745,722
111001,34.901031,137.172562,723
111001,34.900925,137.172424,724
111001,34.900806,137.172272,725
111001,34.900711,137.172165,726
111001,34.900612,137.172058,727
111001,34.900505,137.171967,728
111001,34.900433,137.171906,729
111001,34.900402,137.171875,730
111001,34.900352,137.171829,731
111001,34.90028,137.171768,732
111001,34.900173,137.171661,733
111001,34.90007,137.171585,734
111001,34.899998,137.171509,735
111001,34.89999,137.171402,736
